Model,MAE,RMSE,R²
Linear Regression,59.460809155656776,167.79072650253926,0.011980012369017135
Random Forest,0.587762592779667,6.2597561070962255,0.9986248671825803
XGBoost,1.7569576085776484,5.655434780693932,0.9988775634032131
